~620	20180608	133202
625	1	AD	0000000000000000
628	1	AC	00000D0088000000
632	1	AB	0000000000000000
635	1	AA	0400090000008000
639	1	A8	1E0071FC00001800
642	1	A7	A10300000100F9FF
646	1	A6	F3FFF3FFEEFF0000
650	1	A5	6D0900000000FCFF
653	1	A4	0000000000000000
657	1	A3	EDB5C71EEDB5E71E
660	1	526	050500000000
664	1	90	0000000018C64000
667	1	E1	0000000000000000
671	1	AD	FFFF000000000000
675	1	E1	0000000000000000
678	1	D8	00
682	1	A3	EDB5C71EECB1F71E
685	1	E0	0000000000000000
689	1	A7	5D030000FBFF0000
693	1	A6	0600FBFF06000000
697	1	AD	FFFF000000000000
700	1	90	0000000018C63000
704	1	E1	0000000000000000
708	1	AD	FFFF000000000000
711	1	90	0000000018C64000
715	1	E0	0000000000000000
718	1	DF	00007F80
723	1	90	0000000018C64000
727	1	E1	0000000000000000
730	1	526	050F00000000
734	1	A7	2F0300000800F6FF
738	1	A5	6D09000000000B00
741	1	D8	00
745	1	AD	FFFF000000000000
748	1	526	050100000000
752	1	90	0000000018C64000
756	1	E1	0000000000000000
759	1	523	020B00000025
763	1	90	0000000018864000
767	1	E0	0000000000000000
771	1	A4	0000000000000000
774	1	E0	0000000000000000
778	1	AD	FFFF000000000000
781	1	AB	0000000000000000
785	1	E1	0000000000000000
789	1	F3	00
792	1	526	050500000000
796	1	E0	0000000000000000
799	1	526	050600000000
803	1	528	070700000000
806	1	A5	6D09000000001C00
810	1	A3	EDB9D71EEDB5F71E
814	1	526	050700000000
817	1	AE	1000AF1916031820
821	1	526	050800000000
824	1	AD	FFFF000000000000
828	1	526	050900000000
831	1	F3	00
835	1	E1	0000000000000000
839	1	526	050A00000000
843	1	A4	0000000000000000
846	1	E0	0000000000000000
850	1	AC	0000FFFFD3000000
854	1	AA	0400090000008000
857	1	E1	0000000000000000
861	1	526	050C00000000
864	1	E1	0000000000000000
868	1	90	0000000018864000
872	1	F3	00
875	1	E0	0000000000000000
879	1	A4	0000000000000000
882	1	523	020D0000000D
886	1	AC	00000D00DF000000
890	1	AA	0400090000008000
893	1	D8	00
897	1	E1	0000000000000000
900	1	528	070800000000
904	1	F2	00000F8600000F8C
907	1	90	0000000018864000
911	1	526	050100000000
915	1	A7	8A02000003000500
919	1	A5	6D09000000001D00
923	1	AA	0400090000008000
926	1	A7	830200000100FFFF
930	1	526	050300000000
933	1	AD	FFFF000000000000
937	1	E1	0000000000000000
940	1	523	020E00000019
944	1	F1	E700000000
948	1	E0	0000000000000000
951	1	A3	EDB5C71EEDB5E71E
955	1	E0	0000000000000000
958	1	AB	0000000000000000
962	1	A8	1E0071FC0000F5FF
965	1	E1	0000000000000000
969	1	AD	FFFF000000000000
973	1	90	0000000018C64000
976	1	E0	0000000000000000
980	1	526	050800000000
985	1	AD	FFFF000000000000
989	1	526	050900000000
994	1	AD	FFFF000000000000
997	1	E1	0000000000000000
1001	1	90	0000000018864000
1004	1	A5	6D09000000001F00
1008	1	A4	0000000000000000
1012	1	90	0000000018C64000
1015	1	AE	1000AF1916031820
1019	1	526	050C00000000
1022	1	AD	FFFF000000000000
1026	1	F2	00000F8600000F8C
1029	1	526	050D00000000
1033	1	A3	EDB9D71EEDB5F71E
1037	1	E0	0000000000000000
1040	1	A6	F0FFF5FFE8FF0000
1044	1	A4	0000000000000000
1047	1	E1	0000000000000000
1051	1	AD	FFFF000000000000
1055	1	90	0000000018864000
1059	1	E0	0000000000000000
1063	1	526	050000000000
1066	1	90	0000000018864000
1070	1	526	050100000000
1075	1	AD	FFFF000000000000
1078	1	526	050200000000
1084	1	AD	FFFF000000000000
1087	1	F4	0470
1091	1	526	050300000000
1094	1	A6	0800010006000000
1098	1	A4	0000000000000000
1101	1	528	070A00000000
1105	1	AD	FFFF000000000000
1109	1	526	050500000000
1112	1	F2	00000F8600000F8C
1116	1	90	0000000018864000
1119	1	E0	0000000000000000
1123	1	A3	EDB9C71EEEB5E71E
1126	1	E1	0000000000000000
1131	1	A5	6D09000000002700
1134	1	A3	ECB9C71EEEB5E71E
1138	1	AC	0000000033010000
1142	1	AA	0400090000008000
1145	1	90	0000000018864000
1149	1	E0	0000000000000000
1152	1	F2	00000F8600000F8C
1156	1	90	0000000018864000
1159	1	526	050A00000000
1165	1	AD	FFFF000000000000
1168	1	90	0000000018C64000
1172	1	F3	00
1175	1	A5	6D09000000002800
1179	1	A3	ECB9D71EEDB5F71E
1183	1	AD	FFFF000000000000
1186	1	AC	0000010042010000
1190	1	F2	00000F8600000F8C
1193	1	AD	0000000000000000
1205	1	528	070B00000000
1232	1	E0	0000000000000000
1235	1	90	0000000018864000
1239	1	E0	0000000000000000
1242	1	526	050200000000
1246	1	AD	0100000000000000
1250	1	526	050300000000
1255	1	AD	0000000000000000
1258	1	E1	0000000000000000
1262	1	526	050400000000
1265	1	A5	6D09000000002300
1269	1	A3	EDB5C71EEDB5E71E
1273	1	F2	00000F8600000F8C
1276	1	90	0000000018864000
1280	1	526	050600000000
1283	1	AD	FFFF000000000000
1287	1	E0	0000000000000000
1290	1	526	050700000000
1294	1	A3	EDB9C71EEDB5E71E
1298	1	E0	0000000000000000
1302	1	523	02040000000D
1306	1	526	050800000000
1309	1	AC	0000F2FF6C010000
1313	1	AA	0700010000008000
1316	1	F4	0470
1320	1	E0	0000000000000000
1323	1	526	050A00000000
1327	1	90	0000000018864000
1331	1	E1	0000000000000000
1334	1	D8	00
1338	1	A3	ECB5B71EEDB5D71E
1341	1	E1	0000000000000000
1345	1	AC	00000A0078010000
1349	1	AA	0700010000008000
1352	1	90	0000000018864000
1356	1	AD	FFFF000000000000
1359	1	523	020500000025
1363	1	526	050E00000000
1366	1	A3	EDB9C71EEDB1F71E
1370	1	E0	0000000000000000
1374	1	A3	EDB5C71EEDB5F71E
1378	1	90	0000000018864000
1382	1	A8	1E0071FC00000400
1385	1	A7	730100000100FDFF
1389	1	E1	0000000000000000
1392	1	526	050100000000
1396	1	F2	00000F8600000F8C
1399	1	E0	0000000000000000
1403	1	528	070D00000000
1407	1	90	0000000018864000
1410	1	A4	0000000000000000
1414	1	A2	F0D8F0D865050000
1417	1	AB	0000000000080000
1421	1	A8	1E0071FC0000FFFF
1425	1	526	050400000000
1428	1	AD	FFFF000000000000
1432	1	F4	0470
1435	1	AD	0000000000000000
1439	1	E1	0000000000000000
1443	1	90	0000000018C64000
1447	1	F1	E700000000
1451	1	E0	0000000000000000
1454	1	A6	F8FFFEFF02000000
1458	1	A4	0000000000000000
1461	1	526	050800000000
1465	1	AD	FFFF000000000000
1468	1	E1	0000000000000000
1472	1	90	0000000018863000
1476	1	A3	ECB5D71EEEB9F71E
1479	1	F2	00000F8600000F8C
1483	1	526	050A00000000
1488	1	E0	0000000000000000
1492	1	526	050B00000000
1495	1	90	0000000018864000
1499	1	A8	1E0071FC03000B00
1502	1	A6	F7FFFDFFF3FF0000
1506	1	528	070E00000000
1509	1	AD	FFFF000000000000
1514	1	F3	00
1517	1	AD	FFFF000000000000
1521	1	526	050E00000000
1525	1	AD	0000000000000000
1528	1	A3	ECB9C71EEDB5F71E
1532	1	E1	0000000000000000
1535	1	A6	0D00FEFF05000000
1539	1	A4	0000000000000000
1543	1	DF	00007F80
1546	1	AC	0000FFFFBA010000
1550	1	526	050100000000
1553	1	AD	FFFF000000000000
1557	1	D8	00
1560	1	E0	0000000000000000
1564	1	A3	EDB5C71EEDB5E71E
1568	1	E0	0000000000000000
1572	1	A3	EDB5C71EEDB5F71E
1576	1	90	0000000018864000
1579	1	AC	00000E00C6010000
1583	1	AA	0700010000008000
1587	1	90	0000000018864000
1591	1	AD	FFFF000000000000
1594	1	E1	0000000000000000
1598	1	AD	0000000000000000
1601	1	F2	00000F8600000F8C
1605	1	528	070F00000000
1609	1	A2	F0D8F0D865050000
1612	1	A0	E500E200E700DC00
1616	1	A7	19010000F9FF0000
1619	1	A6	0D00100012000000
1623	1	526	050800000000
1627	1	AD	0000000000000000
1630	1	D8	00
1634	1	AD	0000000000000000
1637	1	A3	EDB9C71EEDB5E71E
1641	1	526	050A00000000
1644	1	DF	00007F80
1649	1	526	050B00000000
1653	1	A3	EDB5B71EEDB5D71E
1660	1	AD	0100000000000000
1663	1	F4	0470
1669	1	AD	FFFF000000000000
1672	1	526	050D00000000
1678	1	AD	FFFF000000000000
1681	1	526	050E00000000
1685	1	F3	00
1688	1	A5	6D09000000007400
1692	1	A4	0000000000000000
1695	1	90	0000000018864000
1699	1	AC	00000000ED010000
1703	1	526	050000000000
1706	1	E1	0000000000000000
1710	1	526	050100000000
1714	1	AD	0000000000000000
1717	1	A3	EDB9C71EEDB5E71E
1721	1	523	020B0000001B
1724	1	A5	6D09000000007E00
1728	1	A3	ECB9C71EEDB5E71E
1732	1	526	050300000000
1736	1	AC	0000F8FFF9010000
1740	1	A3	EDB9C71EEDB5E71E
1743	1	AD	FFFF000000000000
1747	1	A3	EDB5C71EEDB5E71E
1750	1	DF	00007F80
1754	1	526	050500000000
1759	1	AD	0000000000000000
1762	1	526	050600000000
1766	1	F2	00000F8600000F8C
1769	1	A5	6D09000000007F00
1773	1	A4	0000000000000000
1776	1	90	0000000018863000
1780	1	AC	0000F9FF08020000
1784	1	526	050800000000
1787	1	AD	FFFF000000000000
1791	1	526	050900000000
1794	1	E1	0000000000000000
1798	1	A3	EDB9C71EEDB5E71E
1801	1	90	0000000018C64000
1808	1	138	102710271027
1812	1	526	050B00000000
1816	1	E1	0000000000000000
1820	1	E0	0000000000000000
1824	1	A3	EDB5B71EEDB5E71E
1828	1	E1	0000000000000000
1832	1	AA	0700010000008000
1835	1	A7	DB0000000500F6FF
1839	1	E1	0000000000000000
1843	1	AD	FFFF000000000000
1847	1	E1	0000000000000000
1851	1	F2	00000F8600000F8C
1855	1	E1	0000000000000000
1858	1	AD	0100000000000000
1862	1	E0	0000000000000000
1866	1	E1	0000000000000000
1870	1	A3	ECB5C71EEDB5E71E
1874	1	526	050100000000
1878	1	A5	6D09000000008500
1881	1	A3	EEB5C71EEDB5E71E
1885	1	AD	0000000000000000
1889	1	AB	0000000000080000
1893	1	90	0000000018863000
1896	1	AD	FFFF000000000000
1900	1	F3	00
1904	1	521	0002FFFFFFFB
1908	1	526	050400000000
1912	1	526	050500000000
1916	1	E1	0000000000000000
1919	1	90	0000000018C64000
1923	1	A3	ECB5C71EEDB5F71E
1927	1	E1	0000000000000000
1931	1	A8	1E0071FC0000F3FF
1935	1	A7	C5000000FBFFFDFF
1938	1	E1	0000000000000000
1942	1	AD	0000000000000000
1946	1	F1	000006F830
1950	1	AD	FFFF000000000000
1955	1	DF	00007F80
1958	1	E1	0000000000000000
1962	1	526	050A00000000
1966	1	E1	0000000000000000
1970	1	A3	EDB9B71EEEB9E71E
1974	1	90	0000000018C64000
1978	1	E1	0000000000000000
1981	1	526	050C00000000
1985	1	A7	BA0000000100FBFF
1989	1	A5	6E09000000008400
1993	1	AD	FFFF000000000000
1997	1	AB	0000000000080000
2001	1	D8	00
2004	1	521	000300000000
2008	1	528	070300000000
2012	1	90	0000000018C63000
2016	1	E1	0000000000000000
2020	1	AD	FFFF000000000000
2024	1	526	050000000000
2028	1	F3	00
2032	1	E0	0000000000000000
2036	1	90	0000000018C63000
2040	1	A5	6D09000000008000
2043	1	A3	ECB9D71EEDB5F71E
2047	1	AC	0000040062020000
2051	1	AA	0700010000008000
2055	1	E0	0000000000000000
2059	1	E1	0000000000000000
2063	1	E0	0000000000000000
2066	1	AD	0000000000000000
2070	1	F3	00
2074	1	526	050500000000
2078	1	E1	0000000000000000
2082	1	523	02010000001B
2086	1	A3	EDB5C71EEEB9F71E
2089	1	E1	0000000000000000
2093	1	A7	A40000000500F6FF
2097	1	A5	6E09000000007D00
2101	1	AD	0000000000000000
2105	1	90	0000000018C64000
2109	1	528	070400000000
2113	1	AD	FFFF000000000000
2117	1	526	050900000000
2121	1	AD	FFFF000000000000
2125	1	526	050A00000000
2128	1	F4	0470
2132	1	526	050B00000000
2137	1	AD	0000000000000000
2141	1	F2	00000F8600000F8C
2144	1	523	020200000005
2148	1	A3	EDB9C71EECB5E71E
2152	1	D8	00
2156	1	A8	1E0071FCFFFF1300
2160	1	A6	F8FFF6FFEFFF0000
2164	1	526	050E00000000
2167	1	AD	0000000000000000
2171	1	526	050F00000000
2175	1	E0	0000000000000000
2179	1	F2	00000F8600000F8C
2183	1	90	0000000018863000
2187	1	E1	0000000000000000
2191	1	AD	0100000000000000
2195	1	526	050100000000
2199	1	F3	00
2203	1	A3	EDB9D71EECB1F71E
2206	1	A1	DE00EB07CD07F0D8
2210	1	A7	8F0000000300FBFF
2214	1	A5	6E09000000005F00
2218	1	AD	FFFF000000000000
2222	1	AB	0000000000080000
2226	1	D8	00
2229	1	E1	0000000000000000
2233	1	E0	0000000000000000
2237	1	AD	0000000000000000
2241	1	F3	00
2245	1	526	050600000000
2248	1	E1	0000000000000000
2252	1	526	050700000000
2256	1	A3	EDB9D71EECB1F71E
2261	1	E1	0000000000000000
2265	1	A5	6D09000000005D00
2268	1	A3	EDB9C71EECB1F71E
2272	1	AC	00001200AD020000
2276	1	AA	0700010800008000
2280	1	DF	00007F80
2284	1	AD	0100000000000000
2288	1	E1	0000000000000000
2291	1	AD	0000000000000000
2295	1	E0	0000000000000000
2299	1	D8	00
2303	1	123	BBFF01002FFC
2307	1	132	C2FF51FDF8FF
2310	1	90	0000000018863000
2314	1	526	050D00000000
2318	1	A7	810000000000FBFF
2322	1	A5	6D09000000005B00
2326	1	F3	00
2330	1	AC	0000F1FFBF020000
2333	1	526	050F00000000
2338	1	AD	0100000000000000
2342	1	F2	00000F8600000F8C
2346	1	AD	FFFF000000000000
2350	1	A3	EEB9C71EEDB1E71E
2353	1	526	050100000000
2357	1	F4	0470
2362	1	526	050200000000
2365	1	A3	EDB9C71EEDB5E71E
2369	1	F3	00
2373	1	A3	EDB9C71EEEB9F71E
2377	1	526	050300000000
2381	1	AA	0700010800008000
2385	1	A7	790000000100F9FF
2388	1	526	050400000000
2392	1	AD	FFFF000000000000
2396	1	526	050500000000
2400	1	AD	FFFF000000000000
2404	1	526	050600000000
2407	1	E0	0000000000000000
2411	1	528	070700000000
2416	1	90	0000000018864000
2420	1	E1	0000000000000000
2424	1	526	050800000000
2427	1	E0	0000000000000000
2431	1	90	0000000018864000
2435	1	A7	720000000000FFFF
2439	1	A5	6E09000000006F00
2443	1	526	050A00000000
2447	1	AC	00000500E6020000
2450	1	E1	0000000000000000
2454	1	526	050B00000000
2458	1	E0	0000000000000000
2462	1	AD	FFFF000000000000
2466	1	F2	00000F8600000F8C
2470	1	E0	0000000000000000
2473	1	F4	0470
2477	1	E0	0000000000000000
2481	1	A4	0000000000000000
2485	1	A3	EDB5D71EEDB5F71E
2489	1	A6	0200050000000000
2493	1	A4	0000000000000000
2497	1	AE	1000AF1916031820
2501	1	AB	0000000000080000
2505	1	F2	00000F8600000F8C
2509	1	AD	0000000000000000
2512	1	526	050100000000
2516	1	AD	0100000000000000
2520	1	D8	00
2524	1	526	050200000000
2528	1	A3	EDB9D71EEEB9F71E
2532	1	526	050300000000
2535	1	A3	EEB9C71EEEB9E71E
2539	1	F3	00
